Ticket,Title,Phase,Description,Est Hours,Assigned To,Frequency
AFFG-003-001,Technijian VDI Tenant Setup,Phase 1: VDI Foundation,"Provision the Technijian VDI tenant for AFFG within the Technijian private cloud. Configure the VDI workspace, host pool (personal desktop assignment model), session host VM sizing template (4 vCore / 16 GB RAM / 100 GB storage), and diagnostic settings. Verify resource allocation and datacenter placement (Technijian US West) to support AFFG's Irvine-based agent population with minimal latency to Schwab and Interactive Brokers APIs.",2,IRV-TS1,One-Time
AFFG-003-002,Deploy 11 Windows 11 Personal Desktop Images,Phase 1: VDI Foundation,"Deploy 11 dedicated Windows 11 Enterprise Personal Desktop virtual machines — one per AFFG agent. Apply the Technijian gold image including Office 365 apps, Edge/Chrome browsers, and baseline performance tuning. Each VM is a dedicated personal desktop (not pooled/multi-session) to ensure FINRA 3110 individual accountability and SEC Reg S-P data isolation requirements are met.",4,CHD-TS1,One-Time
AFFG-003-003,Configure VDI Security Policies,Phase 1: VDI Foundation,"Configure VDI session controls per the AFFG IT Compliance Strategy: disable clipboard redirection to local device, disable local drive mapping, disable USB/external storage redirection, disable print-to-local (or enable with audit), enable watermarking for screen-capture deterrence, and enforce 15-minute session auto-lock on inactivity. These controls enforce the ""no client data on personal device"" core design principle.",4,CHD-TS1,One-Time
AFFG-003-004,User Profile Management & FSLogix Setup,Phase 1: VDI Foundation,"Deploy and configure FSLogix profile containers for each of the 11 AFFG users. Configure the container storage path pointing to the Technijian Production Storage pool (shared). Set profile inclusion/exclusion policies, size limits, and redirection rules for Outlook caches, Teams caches, and OneDrive Files On-Demand. Validate that profiles persist correctly across sign-in/sign-out cycles.",4,CHD-TS1,One-Time
AFFG-003-005,MFA & Entra Conditional Access Configuration,Phase 1: VDI Foundation,"Enable Multi-Factor Authentication for all 11 AFFG VDI users via Microsoft Authenticator. Configure Entra ID Conditional Access policies to require MFA for VDI sign-in and to restrict M365 access to VDI-sourced sessions only. Test MFA challenge flows and document the break-glass recovery procedure.",3,IRV-TS1,One-Time
AFFG-003-006,User Enrollment & VDI Access Training,Phase 1: VDI Foundation,"Enroll each of the 11 AFFG agents in the VDI environment. Provide hands-on training sessions covering VDI sign-in, MFA, how Schwab and IBKR behave inside the VDI (vs. local), clipboard/download limitations, proper sign-out procedures, and what to do when a session drops. Produce a short quick-reference guide that AFFG can distribute internally.",6,CHD-TS1,One-Time
AFFG-003-007,My Audit UAM+DLP Integration with VDI,Phase 1: VDI Foundation,"Install and configure the My Audit UAM+DLP agent inside each of the 11 VDI desktops. Verify that screen recording, keystroke logging, application monitoring, and DLP policies are capturing correctly. Validate that the 1-year retention policy is enabled and that logs write to the designated immutable storage bucket.",4,CHD-TS1,One-Time
AFFG-003-008,VDI Network Egress IP Configuration,Phase 1: VDI Foundation,"Configure and document the VDI environment's static egress IP addresses (primary + secondary for HA). These IPs will be provided to Schwab and Interactive Brokers for IP allowlisting. Verify outbound connectivity from VDI reaches Schwab Advisor Services (advisorservices.schwab.com) and Interactive Brokers (ndcdyn.interactivebrokers.com) correctly.",3,IRV-TS1,One-Time
AFFG-003-009,Entra Conditional Access – VDI-only M365 Sign-ins,Phase 2: Access Lockdown,"Refine Entra ID Conditional Access policies so M365 sign-ins (Exchange Online, SharePoint, Teams, OneDrive) are only permitted from the VDI egress IPs plus any AFFG registered principal named-exception device. Apply to all 31 AFFG M365 users. Test sign-in blocking from non-VDI source IPs and document the exception process.",3,IRV-TS1,One-Time
AFFG-003-010,Schwab IP Allowlist Request Processing,Phase 2: Access Lockdown,"Prepare and submit the Schwab Advisor Services IP allowlist request using AFFG's VDI egress IPs. Track the request through Schwab's approval process, coordinate any required AFFG signatures, and validate that Schwab login is restricted to the VDI egress after allowlist activation.",2,IRV-TS1,One-Time
AFFG-003-011,Interactive Brokers IP Allowlist Setup,Phase 2: Access Lockdown,"Configure Interactive Brokers IP allowlisting to restrict TWS / IBKR Mobile / Web access to AFFG's VDI egress IPs. Work with AFFG's Interactive Brokers relationship manager to apply the restriction at the account level. Verify login blocking from non-VDI source IPs.",3,CHD-TS1,One-Time
