file,category,status
2023-05-09_1616_4253.pdf,monthly,uploaded
2023-05-09_1616_4254.pdf,monthly,uploaded
2023-05-09_1616_4255.pdf,monthly,uploaded
2023-05-09_1616_VTD _ Invoice 4253 for your review.eml,monthly,uploaded
2023-05-09_1616_VTD _ Monthly Invoice 4254 for your review.eml,monthly,uploaded
2023-05-09_1616_VTD _ Monthly Invoice 4255 for your review.eml,monthly,uploaded
2023-06-02_1825_4442.pdf,monthly,uploaded
2023-06-02_1825_Monthly Time Entries for 4442.xlsx,monthly,uploaded
2023-06-02_1825_VTD _ Monthly Invoice 4442 for your review.eml,monthly,uploaded
2023-06-29_1738_4649.pdf,monthly,uploaded
2023-06-29_1738_VTD _ Invoice 4649 for your review.eml,monthly,uploaded
2023-07-05_1657_4723.pdf,monthly,uploaded
2023-07-05_1657_Monthly Time Entries for 4723.xlsx,monthly,uploaded
2023-07-05_1657_VTD _ Monthly Invoice 4723 for your review.eml,monthly,uploaded
2023-07-11_1930_4798.pdf,monthly,uploaded
2023-07-11_1930_VTD _ Invoice 4798 for your review.eml,monthly,uploaded
2023-07-17_2208_4838.pdf,monthly,uploaded
2023-07-17_2208_VTD _ Invoice 4838 for your review.eml,monthly,uploaded
2023-08-01_1935_4971.pdf,monthly,uploaded
2023-08-01_1935_Monthly Time Entries for 4971.xlsx,monthly,uploaded
2023-08-01_1935_VTD _ Monthly Invoice 4971 for your review.eml,monthly,uploaded
2023-09-01_2115_5192.pdf,monthly,uploaded
2023-09-01_2115_Monthly Time Entries for 5192.xlsx,monthly,uploaded
2023-09-01_2115_VTD _ Monthly Invoice 5192 for your review.eml,monthly,uploaded
2023-09-08_2139_5270.pdf,monthly,uploaded
2023-09-08_2139_VTD _ Invoice 5270 for your review.eml,monthly,uploaded
2023-10-02_2112_5492.pdf,monthly,uploaded
2023-10-02_2112_Monthly Time Entries for 5492.xlsx,monthly,uploaded
2023-10-02_2112_VTD _ Monthly Invoice 5492 for your review.eml,monthly,uploaded
2023-10-18_1728_5577.pdf,monthly,uploaded
2023-10-18_1728_VTD _ Invoice 5577 for your review.eml,monthly,uploaded
2023-11-02_1829_5736.pdf,monthly,uploaded
2023-11-02_1829_Monthly Time Entries for 5736.xlsx,monthly,uploaded
2023-11-02_1829_VTD _ Monthly Invoice 5736 for your review.eml,monthly,uploaded
2023-11-10_1817_5796.pdf,monthly,uploaded
2023-11-10_1817_VTD _ Invoice 5796 for your review.eml,monthly,uploaded
2023-12-01_2103_5979.pdf,monthly,uploaded
2023-12-01_2103_Monthly Time Entries for 5979.xlsx,monthly,uploaded
2023-12-01_2103_VTD _ Monthly Invoice 5979 for your review.eml,monthly,uploaded
2024-01-03_0016_8405.pdf,monthly,uploaded
2024-01-03_0016_Monthly Time Entries for 8405.xlsx,monthly,uploaded
2024-01-03_0016_VTD _ Monthly Invoice 8405 for your review.eml,monthly,uploaded
2024-02-02_1933_8698.pdf,monthly,uploaded
2024-02-02_1933_Monthly Time Entries for 8698.xlsx,monthly,uploaded
2024-02-02_1933_VTD _ Monthly Invoice 8698 for your review.eml,monthly,uploaded
2024-03-04_2221_9073.pdf,monthly,uploaded
2024-03-04_2221_Monthly Time Entries for 9073.xlsx,monthly,uploaded
2024-03-04_2221_VTD _ Monthly Invoice 9073 for your review.eml,monthly,uploaded
2024-03-28_1735_9329.pdf,monthly,uploaded
2024-03-28_1735_VTD _ Invoice 9329 for your review.eml,monthly,uploaded
2024-04-02_2303_9455.pdf,monthly,uploaded
2024-04-02_2303_Monthly Time Entries for 9455.xlsx,monthly,uploaded
2024-04-02_2303_VTD _ Monthly Invoice 9455 for your review.eml,monthly,uploaded
2024-04-02_2327_9455.pdf,monthly,uploaded
2024-04-02_2327_Monthly Time Entries for 9455.xlsx,monthly,uploaded
2024-04-02_2327_VTD _ Monthly Invoice 9455 for your review.eml,monthly,uploaded
2024-05-01_2240_9823.pdf,monthly,uploaded
2024-05-01_2240_Monthly Time Entries for 9823.xlsx,monthly,uploaded
2024-05-01_2240_VTD _ Monthly Invoice 9823 for your review.eml,monthly,uploaded
2024-06-03_1647_10152.pdf,monthly,uploaded
