Ticket,Title,Phase,Description,Est Hours,Assigned To,Frequency
ART-001,Kickoff & Scope Confirmation,Phase 1: Discovery & Access Validation,"Hold remote kickoff meeting with Aranda Tooling point of contact to confirm engagement scope, timeline, deliverables, and communications plan. Walk Client through the preliminary findings context (private keys embedded in historical backups, missing Meraki MS layer in prior export set, management-plane inconsistencies) so expectations for the assessment output are aligned. Capture Client business priorities that should influence severity ranking (e.g., OT/production uptime, guest isolation, printer segmentation, administrative trust boundaries). Document the agreed scope statement, attendees, and action items in kickoff notes.",2,IRV-TS1,One-Time
ART-002,Meraki Access Provisioning & Validation,Phase 1: Discovery & Access Validation,"Coordinate with a named Aranda administrator to provision read-only Meraki Dashboard access or a time-limited read-only Meraki API key covering the organization and network(s) containing the MX firewall, MS switches, and any MR access points for 13950 Yorba Avenue, Chino, CA. Validate that access reaches the correct organization/network and that the requested read scopes are present. Do not accept shared dashboard passwords transmitted by email. Confirm API key expiry date and log when it must be rotated or revoked at the close of the engagement.",3,IRV-TS1,One-Time
ART-003,Inventory Validation & Topology Confirmation,Phase 1: Discovery & Access Validation,"Reconcile the Meraki organization device inventory (MX, MS, MR) with the previously supplied non-Meraki switch set (four Aranda-branded Cisco SMB configs — arandaswitch01 through arandaswitch04 — and six Netgear Smart/Plus exports — ArandaNetgear2/3/4/11/14/15). Cross-reference switch management IPs (10.28.1.10, 10.28.1.20, 10.10.0.x range) against the supplied topology diagram to confirm physical placement. Identify the central switch at 10.28.0.2 and confirm whether it corresponds to an MS device in the aggregation/core role. Document any devices present in Dashboard but missing from the config set, or vice versa.",3,IRV-TS1,One-Time
ART-004,Discovery Memo & Evidence-Gap Log,Phase 1: Discovery & Access Validation,"Produce the Phase 1 discovery memo summarizing confirmed scope, device inventory, access method, and any remaining data-collection items. Create an evidence-gap log identifying any Meraki data items not yet accessible (e.g., switch access policies, DHCP server policy, link aggregations, Layer 3 interfaces if present). The memo and gap log become the baseline for Phase 2 analysis and give Aranda a clear record of what was reviewed versus what remained out of reach.",2,IRV-TS1,One-Time
ART-005,Meraki MX Firewall Configuration Review,Phase 2: Configuration Analysis,"Perform a read-only configuration review of the Meraki MX firewall covering: addressing and VLAN definitions, appliance port assignments, static routes, Layer 3 and Layer 7 firewall rules, NAT translations, DHCP server scopes and reservations, WAN uplink posture (primary/secondary, failover behavior), site-to-site VPN configuration, and any SD-WAN or content-filtering policies that affect segmentation. Validate that inter-VLAN routing is in fact on the MX (as believed from the April 9 clarification) and document any Layer 3 ownership that resides elsewhere. Capture findings with severity, business impact, and recommended action candidates.",5,IRV-TS1,One-Time
ART-006,Meraki MS Switch Configuration Review,Phase 2: Configuration Analysis,"Perform a read-only configuration review of the Meraki MS switch estate covering: global switch settings (management VLAN, STP/RSTP, QoS, multicast, MTU, storm control), per-port configuration (mode, VLAN, native VLAN, allowed VLANs, PoE, schedules, tags), link aggregation groups, access policies, switch ACLs, DHCP server policy / ARP inspection settings, and any Layer 3 interfaces if enabled. Specifically confirm or refute whether the MS layer occupies the aggregation/core role suggested by the topology diagram (central switch 10.28.0.2). Capture findings with severity, business impact, and recommended action candidates.",5,IRV-TS1,One-Time
ART-007,Non-Meraki Switch Configuration Analysis,Phase 2: Configuration Analysis,"Analyze the supplied non-Meraki switch configuration exports: arandaswitch01 (10.28.1.10 — primary office distribution edge, STP priority 4096, widest VLAN/SVI set), arandaswitch02 (10.28.1.20 — downstream office switch), arandaswitch03 (10.28.1.30 — lightly configured IDF), arandaswitch04 (minimal, production status unclear), and the six Netgear Smart/Plus devices in the 10.10.0.0/16 management space. Review VLAN design, trunk/native VLAN consistency, local admin account posture, management IP/default-gateway inconsistency (10.10.0.1 vs 10.28.0.1 split), STP behavior, and configuration hygiene. Flag the embedded private keys and certificates identified in the preliminary review as Critical.",3,IRV-TS1,One-Time
ART-008,Wireless & SSID Alignment Review,Phase 2: Configuration Analysis,"If Meraki MR access points are in use at the site, review SSID-to-VLAN mapping for office, guest, and any purpose-specific SSIDs. Validate local-LAN access policy, per-SSID firewall rules, AP uplink configuration, and guest isolation enforcement. Confirm that wireless segmentation aligns with the intended office and guest design. If no MR is present, document that and note any third-party wireless observed and the implications for segmentation assurance.",2,IRV-TS1,One-Time
ART-009,End-to-End Segmentation Validation,Phase 2: Configuration Analysis,"Validate that the intended segmentation is enforced end-to-end across the Meraki MX/MS layer and the non-Meraki switches. Confirm office (VLAN 20), office wireless (VLAN 30), guest Wi-Fi (VLAN 40), office services (VLAN 50), IoT (VLAN 60), printers (VLAN 70), OT management (VLAN 100), OT computers (VLAN 110), and OT printers (VLAN 120) are carried, trunked, and gatewayed consistently. Identify any gap between defined VLANs and actual end-to-end enforcement. Document any OT-to-office bridging risk, printer/IoT exposure, or guest-to-internal leak vectors.",3,IRV-TS1,One-Time
ART-010,Security & Hardening Baseline Review,Phase 2: Configuration Analysis,"Review security and hardening posture across the assessed devices. Assess local admin account model (named vs shared, consistency across switches), SSH key/certificate posture (including the private keys observed embedded in historical exports), management-plane exposure (where management interfaces are reachable from), logging/SNMP/syslog configuration, NTP/time consistency, firmware version consistency, and backup handling practices. Flag credential rotation, key regeneration, and secure backup handling as Phase 3 remediation inputs. Cyber-risk items receive an elevated severity rating per the preliminary review.",2,IRV-TS1,One-Time
