Ticket,Title,Phase,Description,Est Hours,Role,Assigned To,Frequency
BBC-001,Provision Windows Server VM (Tier 4),Phase 1: Foundation & VM Setup,"Provision Technijian Cloud Tier 4 Windows Server VM (4 vCore / 16 GB RAM) in Irvine data center. Configure base OS, networking, RDP access, firewall rules, and join the Technijian management plane. Issue VM hosting Service Order to Client for monthly billing.",2,US Developer,TBD,One-Time
BBC-002,Install Runtime Stack on VM,Phase 1: Foundation & VM Setup,"Install Node.js 18+, Playwright with browser binaries, Claude Code CLI, PowerShell 7, Git, and required PowerShell modules. Configure .env vault at project root for credential storage. Verify all components execute end-to-end with a smoke test scrape.",2,Offshore Developer,TBD,One-Time
BBC-003,Configure Claude Code Agent,Phase 1: Foundation & VM Setup,"Author the Claude Code system prompt that defines the lead-generation pipeline, allowed tool list, MCP server connections (Microsoft 365 for email, OC Assessor API for property valuation), and subagent definitions for each scraper phase. Lock down tool permissions to scraper / report / email scope.",4,US Developer,TBD,One-Time
BBC-004,Build Orchestrator Harness,Phase 1: Foundation & VM Setup,"Author the PowerShell orchestrator that invokes Claude Code in headless / non-interactive mode with the appropriate prompt for each schedule slot (city permits, DRB, just-sold, CDP, enrichment, weekly report). Capture exit codes, structured logs, and timing metrics for each run.",2,US Developer,TBD,One-Time
BBC-005,Configure Windows Task Scheduler & Logging,Phase 1: Foundation & VM Setup,"Configure six Task Scheduler entries matching the production cadence (city permits Sun 6 AM, DRB daily check, just-sold Mon-Fri 7 AM, CDP Sun 6:30 AM, enrichment after-each-scrape, report Sun 10 AM). Configure structured log rotation to data/logs/YYYY-MM-DD.log and failure-notification email to Technijian operator after two consecutive recovery failures.",2,Offshore Developer,TBD,One-Time
BBC-006,Build DRB Granicus & Legistar Parsers,Phase 2: DRB Intelligence,"Author per-city Granicus / Legistar agenda parsers for Newport Beach, Laguna Beach, and other DRB-using cities. Each parser produces a normalized agenda record (meeting date, agenda items, linked plan-set PDF URLs). Package as a per-city configuration so new cities are added without code changes.",6,Offshore Developer,TBD,One-Time
BBC-007,Build PDF Title-Block Extractor,Phase 2: DRB Intelligence,"Author the PDF download + title-block extraction engine. Use OCR fallback when PDF text layer is missing. Extract owner name, architect / firm name, project address, and APN from the standard title-block layout. Produce confidence-scored output (high / medium / low) and route low-confidence records to a manual-review bucket.",4,US Developer,TBD,One-Time
BBC-008,Entity Normalization & Score Integration,Phase 2: DRB Intelligence,"Author entity-normalization logic that unwraps LLC / trust ownership, resolves common name variants, and joins to the existing client-fit scoring engine. Add unit tests against captured sample agendas covering all DRB-using target cities.",4,US Developer + Offshore,TBD,One-Time
BBC-009,Build Per-City DRB Configurations,Phase 2: DRB Intelligence,"Build the per-city configuration files (HOA list, target value floor, score weights) for all DRB-using target cities. Verify each configuration runs end-to-end against a captured sample agenda.",2,Offshore Developer,TBD,One-Time
BBC-010,Build Zillow Just-Sold Scraper,Phase 3: Just-Sold Monitor,"Author the Zillow just-sold scraper with HOA-area filtering, sale-price floor (default $2M, configurable), and 90-day rolling deduplication. Extract address, sale price, sale date, buyer-agent name, brokerage, phone, and email where available.",4,Offshore Developer,TBD,One-Time
BBC-011,Build Redfin & Realtor.com Scrapers,Phase 3: Just-Sold Monitor,"Author Redfin and Realtor.com scrapers mirroring the Zillow extraction contract. Cross-reference results across all three sites for completeness; mark single-source records with reduced confidence.",4,Offshore Developer,TBD,One-Time
BBC-012,Architecture & OC Assessor Cross-Check,Phase 3: Just-Sold Monitor,"Architect the just-sold record schema, dedup strategy, and confidence scoring. Wire the OC Assessor API integration to cross-check declared sale price against assessed valuation. Wire to the existing client-fit scoring engine.",4,US Developer,TBD,One-Time
BBC-013,Test Just-Sold Pipeline End-to-End,Phase 3: Just-Sold Monitor,"Capture sample HTML snapshots for each target HOA area, run the full pipeline against captured fixtures, and verify deduplication, cross-source merge, and scoring behavior.",2,Offshore Developer,TBD,One-Time
BBC-014,Build Spokeo Skip-Tracing Automation,Phase 4: Contact Enrichment,"Author the Spokeo browser automation (via Playwright) that performs owner skip-tracing for each new lead. Extract phone and email with Spokeo's confidence indicators. Configure CAPTCHA / bot-defense handling and graceful failure when Spokeo blocks the session.",4,Offshore Developer,TBD,One-Time
BBC-015,Build Apollo.io Architect Enrichment,Phase 4: Contact Enrichment,"Author the Apollo.io API integration that enriches architect / firm contact data. Configure rate-limit handling and quota guardrails so a runaway scrape cannot exhaust the enrichment budget.",4,Offshore Developer,TBD,One-Time
BBC-016,Quota Guardrails & Confidence Join,Phase 4: Contact Enrichment,"Author the quota guardrails (daily / monthly caps), confidence-scored join logic that attaches enrichment results to source lead records, and the lead-to-contact reporting view.",2,US Developer,TBD,One-Time
BBC-017,Build CDP Scrapers (5 Cities + CCC),Phase 5: CDP & Financial Signals,"Author Coastal Development Permit scrapers for Newport Beach, Laguna Beach, Dana Point, San Clemente, and the California Coastal Commission portal. Normalize CDP records and integrate as a +20 confidence score modifier on existing leads.",4,Offshore Developer,TBD,One-Time
BBC-018,Build OC Clerk-Recorder Monitor,Phase 5: CDP & Financial Signals,"Author the OC Clerk-Recorder monitor that searches for construction deeds of trust and LLC / trust property transfers in target HOA areas. Integrate as a +15 confidence score modifier on existing leads.",2,Offshore Developer,TBD,One-Time
BBC-019,Score Modifier Calibration,Phase 5: CDP & Financial Signals,"Calibrate the CDP and Clerk-Recorder score modifiers against the 16 hours of foundational work and the existing client-fit scoring engine. Document the modifier weights for the post-go-live calibration memo.",2,US Developer,TBD,One-Time
BBC-020,Weekly Tiered Report Generator,Phase 6: Report & Email Delivery,"Author the weekly tiered-report generator that classifies leads into Tier 1 (Hot, score >= 80), Tier 2 (Warm, score 60-79), and Tier 3 (Watch, score 40-59). Generate the branded DOCX extending the existing template, the CSV for CRM import, and the JSON export for downstream consumers.",5,US Developer,TBD,One-Time
BBC-021,Microsoft 365 MCP Email Integration,Phase 6: Report & Email Delivery,"Configure the Microsoft 365 MCP server connection from the Claude Code agent. Author the email composer that produces an HTML summary email with the DOCX and CSV attached and sends to Kurtis Burkhart on Sunday 10:00 AM Pacific.",2,US Developer,TBD,One-Time
BBC-022,Delta Detection & Weekly Archive,Phase 6: Report & Email Delivery,"Author the delta-detection logic so only NEW leads since the last report are highlighted in the weekly digest. Archive each weekly snapshot to data/reports/YYYY-MM-DD/ for audit and recoverability.",1,US Developer,TBD,One-Time
BBC-023,Report Assembly Tests,Phase 6: Report & Email Delivery,"Capture sample lead datasets covering all three tiers and several edge cases (zero new leads, scoring tie, missing enrichment), run the report assembly end-to-end, and verify DOCX / CSV / JSON / email output.",2,Offshore Developer,TBD,One-Time
BBC-024,CTO Architecture Review (Per Phase),CTO Oversight,"End-of-phase architecture review for Phases 1-6. Each review confirms the phase deliverables are integration-ready, surfaces any cross-phase risks, and authorizes the next phase to proceed. Reviews are time-boxed to one hour per phase.",6,CTO Advisory,Ravi Jain,One-Time
BBC-025,Production Cutover & Go-Live Authorization,CTO Oversight,"Production cutover checklist execution: credential rotation, scheduled-task validation, log retention check, M365 send authorization, on-call rotation for first two weeks. CTO go-live authorization is required before final acceptance per Section 8.05.",2,CTO Advisory,Ravi Jain,One-Time
BBC-026,Post-Go-Live Scoring Calibration,CTO Oversight,"After the second weekly report, review pipeline output with Kurtis Burkhart, capture qualitative feedback on lead relevance, and adjust scoring weights or score modifiers accordingly. Produce a calibration memo summarizing changes and rationale.",2,CTO Advisory,Ravi Jain,One-Time
BBC-027,Operator Runbook & Walkthrough,CTO Oversight,"Author the operator runbook covering day-to-day operations: how to read the weekly report, how to add a new HOA target, how to adjust the sale-price floor, how to escalate a scraper failure, and how to request a Change Order. Deliver a 60-minute live walkthrough to Bryan and Kurtis Burkhart and record for future operator onboarding.",0,CTO Advisory,Ravi Jain,One-Time
BBC-VM-MO,Cloud VM Tier 4 Hosting (Recurring),Recurring Service Order,"Recurring monthly hosting for the Claude Code agent VM: Tier 4 Cloud VM (4 vCore / 16 GB RAM, $35), Windows Server license ($30), Shared Bandwidth ($15), Image Backup ($15), Health Monitoring ($2). Estimated $97 / month. Billed under separate Service Order; thirty (30) day notice to terminate.",0,Cloud Operations,TBD,Monthly
