Ticket,Title,Phase,Description,Est Hours,Assigned To,Frequency
AFFG-004-001,Intune Autopilot Configuration & Enrollment Profiles,Phase 1: Endpoint Foundation,"Configure Windows Autopilot deployment profiles in Microsoft Intune for AFFG's 9 company laptops. Create the Autopilot profile with user-driven mode, OOBE customization (Technijian branding, skip privacy/EULA pages), and Entra ID join. Register all 9 device hardware hashes. Verify Autopilot readiness for each device serial number.",3,CHD-TS1,One-Time
AFFG-004-002,Intune Device Compliance Policies,Phase 1: Endpoint Foundation,"Create Intune compliance policies for Windows 11 laptops: require BitLocker encryption, Windows Defender ATP active, firewall enabled, minimum OS version, screen lock timeout (15 min), antivirus definitions current. Configure non-compliance action: mark non-compliant after 1 day, block M365 access via Conditional Access integration.",2,CHD-TS1,One-Time
AFFG-004-003,Intune Device Configuration Profiles,Phase 1: Endpoint Foundation,"Deploy Intune configuration profiles for the 9 managed laptops: BitLocker silent encryption (XTS-AES 256), Windows Defender ATP onboarding, Windows Firewall rules, Windows Update for Business (monthly quality + quarterly feature), password/PIN complexity policies, and telemetry settings. Test profile application on pilot device before fleet deployment.",3,CHD-TS1,One-Time
AFFG-004-004,Laptop Autopilot Enrollment & Imaging (9 Devices),Phase 1: Endpoint Foundation,"Execute Autopilot enrollment for all 9 AFFG company laptops. Each device: factory reset, connect to internet, run Autopilot OOBE, verify Entra ID join, confirm Intune enrollment, validate all compliance policies applied (BitLocker, Defender, firewall, patches). Document device serial, Entra device ID, and compliance state.",6,CHD-TS1,One-Time
AFFG-004-005,Endpoint Security Stack Deployment (9 Laptops),Phase 1: Endpoint Foundation,"Deploy the full Technijian endpoint security stack to all 9 managed laptops: CrowdStrike Falcon EDR, Huntress Managed Detection, Cisco Umbrella DNS Filtering, ManageEngine Patch Management, ConnectWise ScreenConnect. Verify agent check-in for each product on all 9 devices. Test CrowdStrike with EICAR, confirm Huntress 24/7 monitoring.",4,CHD-TS1,One-Time
AFFG-004-006,MyAudit UAM+DLP Agent Deployment on Managed Laptops,Phase 1: Endpoint Foundation,"Install and configure MyAudit UAM+DLP agent on all 9 managed laptops. Configure DLP policies: block USB/external storage, block local download of regulated data, block print-to-local, block clipboard copy to unmanaged apps, block screen capture. Verify 1-year retention policy. Validate detection accuracy with test scenarios.",4,CHD-TS1,One-Time
AFFG-004-007,SSO/2FA Gateway Deployment on Managed Endpoints,Phase 1: Endpoint Foundation,"Deploy and configure Technijian SSO/2FA gateway on all 9 managed laptops for custodian bank portals (Schwab Advisor Services, Interactive Brokers) and non-M365 regulated systems. Verify MFA enforcement and session logging per Reg S-P 2024 amendments.",2,CHD-TS1,One-Time
AFFG-004-008,Credential Manager Deployment,Phase 1: Endpoint Foundation,"Deploy Technijian Credential Manager to all 9 managed laptops. Configure vault with Schwab, IBKR, and M365 credentials. Verify auto-fill and session tracking for regulated portals.",2,CHD-TS1,One-Time
AFFG-004-009,Conditional Access Policy Suite,Phase 2: Access Control,"Configure Entra ID Conditional Access policy suite for managed-device model: Policy 1 — Require Intune-compliant device for M365 access (Exchange, SharePoint, OneDrive, Teams) across all platforms. Policy 2 — Block legacy authentication (IMAP, POP3, SMTP AUTH, Exchange ActiveSync). Policy 3 — Require MFA for all sign-ins. Apply to all 31 M365 users. Test personal device blocking and legacy auth rejection.",4,IRV-TS1,One-Time
AFFG-004-010,CloudBrink ZTNA Tenant & Connector Setup,Phase 2: Access Control,"Provision CloudBrink ZTNA tenant for AFFG. Deploy CloudBrink connector (edge appliance) integrated with AFFG network. Configure identity provider integration with Microsoft Entra ID for SSO. Define application resources: M365, Schwab Advisor Services, Interactive Brokers TWS, internal file shares. Reg S-P 248.30(a)(3); NIST AC-17, SC-7.",3,IRV-TS1,One-Time
