Ticket,Title,Phase,Description,Est Hours,Assigned To,Frequency
AFFG-026,Wireless Access Point Procurement & Pre-Configuration,Phase 1: Preparation,"Procure the Client-selected wireless access point (Sophos AP6 420 recommended, MSRP $260.00). Verify hardware receipt, inspect for damage, and confirm model/SKU matches SOW specification (AP420U00ZZPCNP). Pre-stage firmware update if available. Validate PoE compatibility (802.3af/at, ~15W) with AFFG's existing switch infrastructure identified during SOW-AFFG-001 Phase 1 discovery. If PoE is not available on the existing switch, coordinate PoE injector procurement.",0.5,CHD-TS1,One-Time
AFFG-027,Router Wi-Fi Disable & Security Hardening,Phase 2: Physical Installation & Network Integration,"Disable the built-in Wi-Fi functionality on AFFG's existing router at 1 Park Plaza, Ste 210, Irvine, CA 92618 to eliminate unmonitored wireless ingress/egress points that bypass the Sophos SF V-2C4 firewall security inspection engine. Verify no residual wireless broadcast (SSID scan confirmation). Document the router configuration change for rollback capability. This task is a prerequisite for AP deployment to ensure all wireless traffic is routed through the Sophos firewall. Coordinated with SOW-AFFG-001 Phase 3 on-site work. On-site work required.",0.5,IRV-TS1,One-Time
AFFG-028,Access Point Physical Installation & Cabling,Phase 2: Physical Installation & Network Integration,"Physically install the wireless access point at AFFG's primary location (1 Park Plaza, Ste 210, Irvine, CA 92618). Mount the AP in an optimal location for wireless coverage of the office environment (~15 users / <50 devices). Connect Ethernet uplink cable to AFFG's existing PoE-capable switch port. Verify physical layer connectivity (link lights, PoE power delivery, speed/duplex negotiation). Ensure AP powers on and reaches initial boot state. Coordinated with SOW-AFFG-001 Phase 3 on-site work. On-site work required.",0.5,IRV-TS1,One-Time
AFFG-029,Sophos Firewall Integration & Traffic Path Validation,Phase 2: Physical Installation & Network Integration,"Configure the Sophos SF V-2C4 firewall to recognize and route wireless AP traffic through the security inspection engine. Ensure all wireless client traffic passes through Sophos IPS, ATP, TLS inspection, application control, and web filtering. Configure firewall rules for wireless network segments (corporate and guest SSIDs). Validate end-to-end traffic path from wireless clients through the AP, through the firewall, and to the internet. Confirm no wireless traffic bypasses the Sophos inspection path. Coordinated with SOW-AFFG-001 Phase 3 on-site work. On-site work required.",1,IRV-TS1,One-Time
AFFG-030,WPA3 Encryption & Wireless Security Configuration,Phase 3: Security Policy & Compliance Configuration,"Configure WPA3-Enterprise or WPA3-SAE encryption on the wireless access point per compliance requirements (SEC Reg S-P, FTC Safeguards Rule, HIPAA 164.312(e), PCI-DSS 4.0 Req 2.3, GDPR Art. 32). Ensure AES-256 encryption is enforced. Disable all legacy protocols (WPA2-TKIP prohibited per PCI-DSS 4.0). Configure separate SSIDs for corporate and guest wireless networks with appropriate security policies for each. Set maximum client limits and session timeout policies.",0.5,IRV-TS1,One-Time
AFFG-031,VLAN Configuration & Wireless Network Segmentation,Phase 3: Security Policy & Compliance Configuration,"Configure VLAN tagging on the wireless access point to segment corporate wireless traffic from guest wireless traffic. Map corporate SSID to the appropriate internal VLAN for access to AFFG business resources (customer NPI/PII, financial data, trading systems). Map guest SSID to an isolated VLAN with internet-only access and no path to internal resources. Configure inter-VLAN routing rules on the Sophos firewall to enforce segmentation. Addresses HIPAA 164.312(e) transmission security, PCI-DSS network segmentation, and SOC 2 CC6.1 logical access controls.",0.25,IRV-TS1,One-Time
AFFG-032,802.1X / RADIUS Authentication Configuration,Phase 3: Security Policy & Compliance Configuration,"Configure 802.1X enterprise authentication on the corporate SSID if Client has or deploys a RADIUS server. Set up RADIUS integration for certificate-based or credential-based wireless authentication. Configure authentication policies, session timeouts, and re-authentication intervals. If RADIUS is not available, configure WPA3-SAE with strong passphrase policy as an interim measure and document RADIUS deployment as a future recommendation. Addresses SOC 2 CC6.1 logical access controls, PCI-DSS Req 8 user identification, and FINRA Rule 3110 supervisory controls.",0.25,IRV-TS1,One-Time
AFFG-033,Sophos Central Enrollment & Synchronized Security,Phase 3: Security Policy & Compliance Configuration,"Enroll the Sophos AP6 420 into Sophos Central cloud management platform (same console as the SF V-2C4 firewall from SOW-AFFG-001). Enable Synchronized Security (Heartbeat) so the AP shares endpoint health status with the firewall in real-time. Configure automatic isolation policy: if a wireless client is identified as compromised, the firewall automatically restricts its network access. Verify AP appears in Sophos Central with correct status, firmware version, and configuration. Confirm unified management dashboard shows both firewall and AP.",0.25,CHD-TS1,One-Time
AFFG-034,WIDS/WIPS Rogue Access Point Detection Configuration,Phase 3: Security Policy & Compliance Configuration,"Enable and configure Wireless Intrusion Detection System (WIDS) and Wireless Intrusion Prevention System (WIPS) via Sophos Central Wireless. Configure rogue AP detection to identify unauthorized wireless access points in or near AFFG's office environment. Set up real-time alerting for rogue AP detections. Configure containment policies for detected rogue APs if supported. Addresses PCI-DSS 4.0 Req 11.2 wireless analyzer scan requirements and FTC Safeguards Rule rogue AP detection mandate.",0.25,CHD-TS1,One-Time
AFFG-035,Post-Deployment Validation & Wireless Coverage Testing,Phase 4: Testing & Validation,"Perform comprehensive post-deployment validation of the wireless access point. Test wireless connectivity from multiple locations within AFFG's office to verify adequate coverage for all ~15 users. Validate WPA3 encryption is enforced (protocol analyzer confirmation). Test corporate SSID access to internal resources and guest SSID isolation from internal network. Verify VLAN segmentation is functioning correctly. Test Synchronized Security (Heartbeat) by simulating a compromised client scenario. Confirm all wireless traffic appears in Sophos Central logs and firewall inspection reports. Document all test results with evidence.",0.5,IRV-TS1,One-Time
AFFG-036,Wireless Compliance Evidence Documentation,Phase 4: Testing & Validation,"Document all wireless access point configuration details and produce compliance evidence for AFFG's regulatory requirements. Export and document: WPA3 encryption settings, VLAN configuration, 802.1X/RADIUS settings, WIDS/WIPS configuration, Sophos Central enrollment screenshots, Synchronized Security status, and wireless coverage test results. Map each wireless control to the specific compliance framework it satisfies (SEC Reg S-P, FINRA 3110/4370, FTC Safeguards, HIPAA 164.312(e), SOC 2 CC6.1, PCI-DSS 2.3/11.2, GDPR Art. 32). Integrate wireless evidence into the compliance evidence package from AFFG-016.",0.5,CHD-TS1,One-Time
