Ticket,Title,Phase,Description,Est Hours,Assigned To,Frequency
VWC-001,Initial Discovery Session (No-Charge),Phase 1: Discovery & Strategy,"Two-hour no-charge kickoff session with Sanford Coggins and designated VWC stakeholders. Understand VWC's current investor acquisition motion, target personas (accredited investors, RIAs, family offices), growth objectives, existing tech stack (CRM, email, data sources), compliance posture (Reg D 506(b)/506(c), CAN-SPAM, TCPA, state solicitation rules), budget envelope, and success metrics. No invoice will be issued for these hours. At session close, Client decides whether to proceed to billable work.",2,TBD,One-Time
VWC-002,AI Lead Gen Strategy Brief & Persona Definitions,Phase 1: Discovery & Strategy,"Document findings from the discovery session into a one-page AI Lead Gen strategy brief. Define 2-3 target personas (accredited investor, RIA partner, family office) with firmographic/demographic screens, typical buying motion, preferred channels, and red-flag exclusions. Recommend channel mix (outbound email, LinkedIn, intent-data, event marketing). Propose KPIs and targets for pilot phase.",2,TBD,One-Time
VWC-003,Architecture Design & Vendor Short-List,Phase 2: Architecture & Tool Selection,"Design end-to-end AI lead generation architecture: data ingestion sources, enrichment layer (Clay/Apollo/ZoomInfo/LinkedIn), LLM selection (Claude/GPT/open-source), scoring engine, outreach orchestration (n8n/Make/Zapier/native), CRM integration target (HubSpot/Salesforce/Pipedrive), and analytics dashboard. Produce architecture diagram. Build vendor short-list with monthly cost, pros/cons, compliance notes (SOC 2, data residency, GDPR where relevant), and integration complexity.",4,TBD,One-Time
VWC-004,Client Review & Backlog Prioritization,Phase 2: Architecture & Tool Selection,"Walk Client through architecture and vendor short-list. Capture decisions on tool selection. Build prioritized implementation backlog with MoSCoW (Must/Should/Could/Won't). Confirm Client has procured or will procure required third-party subscriptions before Phase 3 begins.",2,TBD,One-Time
VWC-005,Data Pipeline & Enrichment Build,Phase 3: Build & Integration,"Stand up the data ingestion pipeline against Client-approved sources. Configure enrichment provider(s) to attach firmographic, demographic, and wealth-screening attributes to each prospect record. Implement deduplication and normalization. Build a reviewable staging table where Client can inspect enriched records before they flow into scoring. Document data lineage for compliance evidence.",6,TBD,One-Time
VWC-006,LLM-Based Lead Scoring Model,Phase 3: Build & Integration,"Implement an LLM-assisted lead scoring model that ranks prospects by fit and engagement likelihood. Model must emit a numeric score plus a human-readable rationale that a compliance reviewer can audit. Include prompt templates for each persona, temperature/consistency controls, and a fallback deterministic rule when LLM is unavailable. Include unit tests with known-good and known-bad exemplar records.",4,TBD,One-Time
VWC-007,AI Outreach Sequences & Human-in-the-Loop Review UI,Phase 3: Build & Integration,"Build AI-generated outreach sequences (email + LinkedIn) that personalize copy per persona and lead. Implement a human-in-the-loop review workflow: Client-designated reviewer sees draft messages, can edit/approve/reject, and only approved messages are sent. Configure sender warm-up guidance, SPF/DKIM/DMARC verification, and suppression list management. Include opt-out handling compliant with CAN-SPAM.",5,TBD,One-Time
VWC-008,CRM Integration (Bi-Directional),Phase 3: Build & Integration,"Push scored and qualified leads into Client's CRM with full provenance: source, enrichment attributes, score, LLM rationale, and next-best-action recommendation. Pull CRM disposition back into the pipeline to close the loop (meeting booked, not interested, converted, etc.). Configure field mappings, duplicate detection against existing CRM records, and error handling.",3,TBD,One-Time
VWC-009,KPI Dashboard Build,Phase 3: Build & Integration,"Build leadership dashboard showing pipeline velocity, outreach send volume, reply rate, meetings booked, SQL-to-investor conversion, and tool cost per qualified lead. Wire real-time data from pipeline, outreach platform, and CRM. Include drill-down by persona, channel, and campaign. Dashboard hosted in Client's preferred BI tool or lightweight web dashboard.",3,TBD,One-Time
VWC-010,Pilot Campaign Run & Analysis,Phase 4: Pilot Tuning & Go-Live,"Run a controlled pilot against a Client-approved prospect list (typically 200-500 records). Monitor deliverability, reply rate, meetings booked, false-positive rate, and any compliance flags. Produce pilot results report with data, observations, and tuning recommendations. Identify any prompt, scoring, or channel adjustments required before broader rollout.",4,TBD,One-Time
VWC-011,Tuning & Go-Live Enablement,Phase 4: Pilot Tuning & Go-Live,"Apply tuning based on pilot findings: refine scoring thresholds, rewrite underperforming outreach templates, adjust persona definitions as needed. Build go-live checklist: reviewer training, escalation paths, campaign approval workflow, monthly budget guardrails. Obtain Client written authorization to proceed to full rollout.",3,TBD,One-Time
VWC-012,Operator Runbook & Architecture Reference,Phase 5: Knowledge Transfer,"Produce an operator runbook covering day-to-day operations: how to add a new persona, review queue, approve outreach, handle suppressions, investigate deliverability issues, and troubleshoot pipeline failures. Produce architecture reference document covering system components, vendor contracts, API keys vaulting, and disaster recovery. All documentation stored in Client's knowledge base.",2,TBD,One-Time
