"Query","Date","From","FromName","To","Cc","Subject","HasAttachments","AttachmentCount","AttachmentNames","File"
"from:vintagedesigninc.com","6/29/2023 5:38:45 PM","postmaster@vintagedesigninc.com","postmaster@vintagedesigninc.com","ericagarcia@vintagedesigninc.com","","Delivered: VTD : Invoice 4649 for your review","False","0","","2023-06-29_1738_billing_Delivered_ VTD _ Invoice 4649 for your review.eml"
"from:vintagedesigninc.com","7/1/2023 5:11:45 PM","postmaster@vintagedesigninc.com","postmaster@vintagedesigninc.com","ericagarcia@vintagedesigninc.com","","Delivered: VTD : Weekly Invoice 4689 for your review","False","0","","2023-07-01_1711_billing_Delivered_ VTD _ Weekly Invoice 4689 for your review.eml"
"from:vintagedesigninc.com","7/5/2023 4:57:44 PM","postmaster@vintagedesigninc.com","postmaster@vintagedesigninc.com","ericagarcia@vintagedesigninc.com","","Delivered: VTD : Monthly Invoice 4723 for your review","False","0","","2023-07-05_1657_billing_Delivered_ VTD _ Monthly Invoice 4723 for your review.eml"
"from:vintagedesigninc.com","7/8/2023 5:11:22 PM","postmaster@vintagedesigninc.com","postmaster@vintagedesigninc.com","ericagarcia@vintagedesigninc.com","","Delivered: VTD : Weekly Invoice 4788 for your review","False","0","","2023-07-08_1711_billing_Delivered_ VTD _ Weekly Invoice 4788 for your review.eml"
"from:vintagedesigninc.com","7/11/2023 7:30:45 PM","postmaster@vintagedesigninc.com","postmaster@vintagedesigninc.com","ericagarcia@vintagedesigninc.com","","Delivered: VTD : Invoice 4798 for your review","False","0","","2023-07-11_1930_billing_Delivered_ VTD _ Invoice 4798 for your review.eml"
"from:vintagedesigninc.com","7/17/2023 4:05:40 PM","postmaster@vintagedesigninc.com","postmaster@vintagedesigninc.com","ericagarcia@vintagedesigninc.com","","Delivered: VTD : Weekly Invoice 4832 for your review","False","0","","2023-07-17_1605_billing_Delivered_ VTD _ Weekly Invoice 4832 for your review.eml"
"from:vintagedesigninc.com","7/17/2023 10:08:42 PM","postmaster@vintagedesigninc.com","postmaster@vintagedesigninc.com","ericagarcia@vintagedesigninc.com","","Delivered: VTD : Invoice 4838 for your review","False","0","","2023-07-17_2208_billing_Delivered_ VTD _ Invoice 4838 for your review.eml"
"from:vintagedesigninc.com","7/22/2023 5:11:59 PM","postmaster@vintagedesigninc.com","postmaster@vintagedesigninc.com","ericagarcia@vintagedesigninc.com","","Delivered: VTD : Weekly Invoice 4871 for your review","False","0","","2023-07-22_1711_billing_Delivered_ VTD _ Weekly Invoice 4871 for your review.eml"
"from:vintagedesigninc.com","7/31/2023 5:25:47 PM","postmaster@vintagedesigninc.com","postmaster@vintagedesigninc.com","ericagarcia@vintagedesigninc.com","","Delivered: VTD : Weekly Invoice 4911 for your review","False","0","","2023-07-31_1725_billing_Delivered_ VTD _ Weekly Invoice 4911 for your review.eml"
"from:vintagedesigninc.com","8/1/2023 7:35:44 PM","postmaster@vintagedesigninc.com","postmaster@vintagedesigninc.com","ericagarcia@vintagedesigninc.com","","Delivered: VTD : Monthly Invoice 4971 for your review","False","0","","2023-08-01_1935_billing_Delivered_ VTD _ Monthly Invoice 4971 for your review.eml"
"from:vintagedesigninc.com","8/7/2023 4:04:24 PM","postmaster@vintagedesigninc.com","postmaster@vintagedesigninc.com","ericagarcia@vintagedesigninc.com","","Delivered: VTD : Weekly Invoice 5020 for your review","False","0","","2023-08-07_1604_billing_Delivered_ VTD _ Weekly Invoice 5020 for your review.eml"
"from:vintagedesigninc.com","8/14/2023 3:33:38 PM","postmaster@vintagedesigninc.com","postmaster@vintagedesigninc.com","ericagarcia@vintagedesigninc.com","","Delivered: Invoice 5054 Voided","False","0","","2023-08-14_1533_billing_Delivered_ Invoice 5054 Voided.eml"
"from:vintagedesigninc.com","8/19/2023 5:12:53 PM","postmaster@vintagedesigninc.com","postmaster@vintagedesigninc.com","ericagarcia@vintagedesigninc.com","","Delivered: VTD : Weekly Invoice 5104 for your review","False","0","","2023-08-19_1712_billing_Delivered_ VTD _ Weekly Invoice 5104 for your review.eml"
"from:vintagedesigninc.com","9/1/2023 9:15:45 PM","postmaster@vintagedesigninc.com","postmaster@vintagedesigninc.com","ericagarcia@vintagedesigninc.com","","Delivered: VTD : Monthly Invoice 5192 for your review","False","0","","2023-09-01_2115_billing_Delivered_ VTD _ Monthly Invoice 5192 for your review.eml"
"from:vintagedesigninc.com","9/5/2023 4:17:27 PM","postmaster@vintagedesigninc.com","postmaster@vintagedesigninc.com","ericagarcia@vintagedesigninc.com","","Delivered: VTD : Weekly Invoice 5260 for your review","False","0","","2023-09-05_1617_billing_Delivered_ VTD _ Weekly Invoice 5260 for your review.eml"
"from:vintagedesigninc.com","9/8/2023 9:39:53 PM","postmaster@vintagedesigninc.com","postmaster@vintagedesigninc.com","ericagarcia@vintagedesigninc.com","","Delivered: VTD : Invoice 5270 for your review","False","0","","2023-09-08_2139_billing_Delivered_ VTD _ Invoice 5270 for your review.eml"
