Ticket,Title,Phase,Description,Est Hours,Assigned To,Frequency
AFFG-004-001,Apple Business Manager + Intune ADE Enrollment Profiles,Phase 1: Endpoint Foundation,"Configure Apple Business Manager (ABM) Automated Device Enrollment for AFFG's 9 Apple endpoints (3 Mac Minis + 6 Apple Neo notebooks). Link ABM to Technijian's Intune tenant via MDM server token. Create the macOS enrollment profile: user-driven mode, Setup Assistant customization (skip Apple ID, Siri, Touch ID optional, Technijian branding), Entra ID join via Platform SSO. Register all 9 device hardware serials in ABM. Verify ADE readiness.",2,CHD-TS1,One-Time
AFFG-004-002,Intune Compliance Policies for macOS,Phase 1: Endpoint Foundation,"Create Intune compliance policies for macOS endpoints: require FileVault encryption, Gatekeeper in Developer-ID-signed-only mode, XProtect active, firewall enabled, minimum macOS version, screen lock timeout (15 min), and passcode complexity. Configure non-compliance action: mark non-compliant after 1 day, block M365 access via Conditional Access integration.",2,CHD-TS1,One-Time
AFFG-004-003,Intune Configuration Profiles for macOS,Phase 1: Endpoint Foundation,"Deploy Intune configuration profiles for the 9 Apple endpoints: FileVault silent enable with institutional key escrow, Gatekeeper strict, System Integrity Protection verified, macOS firewall rules, Software Update for macOS (monthly quality + quarterly feature), passcode complexity policies, and telemetry settings. Test profile application on one Mac Mini and one Apple Neo notebook before fleet deployment.",3,CHD-TS1,One-Time
AFFG-004-004,Mac ABM Enrollment & Imaging (9 Apple Endpoints),Phase 1: Endpoint Foundation,"Execute ABM-based enrollment for all 9 AFFG Apple endpoints (3 Mac Minis + 6 Apple Neo notebooks). Each device: factory reset (erase all content and settings), connect to internet, run Setup Assistant, verify automatic Intune enrollment via ADE, confirm Entra ID join via Platform SSO, validate all compliance profiles applied (FileVault active with key escrowed, Gatekeeper, firewall, OS up to date). Document device serial, Entra device ID, and compliance state.",5,CHD-TS1,One-Time
AFFG-004-005,Endpoint Security Stack Deployment (9 macOS Endpoints),Phase 1: Endpoint Foundation,"Deploy the full Technijian macOS endpoint security stack to all 9 Apple endpoints via Intune app deployment: CrowdStrike Falcon for Mac (EDR), Huntress macOS (Managed Detection), Cisco Umbrella macOS (DNS Filtering), ManageEngine Patch Management for macOS (PMMAC), ConnectWise ScreenConnect macOS agent. Verify agent check-in for each product on all 9 devices. Test CrowdStrike with EICAR, confirm Huntress 24/7 monitoring, validate PMMAC patching queue.",5,CHD-TS1,One-Time
AFFG-004-006,MyAudit UAM+DLP Agent Deployment on 9 Macs,Phase 1: Endpoint Foundation,"Install and configure MyAudit UAM+DLP agent (macOS build) on all 9 Apple endpoints. Configure DLP policies: block USB/external storage writes, block local download of regulated data, block print-to-local, block clipboard copy to unmanaged apps, block screen capture. Verify 1-year retention policy. Validate detection accuracy with test scenarios. Document any macOS-specific coverage differences versus the Windows DLP baseline for the Phase 5 gap assessment.",4,CHD-TS1,One-Time
AFFG-004-007,SSO/2FA Gateway Deployment on Managed Macs,Phase 1: Endpoint Foundation,"Deploy and configure Technijian SSO/2FA gateway (macOS client) on all 9 Apple endpoints for custodian bank portals (Schwab Advisor Services, Interactive Brokers) and non-M365 regulated systems. Verify MFA enforcement and session logging per Reg S-P 2024 amendments.",2,CHD-TS1,One-Time
AFFG-004-008,Credential Manager Deployment on Managed Macs,Phase 1: Endpoint Foundation,"Deploy Technijian Credential Manager (macOS client) to all 9 Apple endpoints. Configure vault with Schwab, IBKR, and M365 credentials. Verify auto-fill and session tracking for regulated portals. Integrate with macOS Keychain where appropriate without weakening policy-enforced controls.",2,CHD-TS1,One-Time
AFFG-004-009,Conditional Access Policy Suite,Phase 2: Access Control,"Configure Entra ID Conditional Access policy suite for managed-Mac model: Policy 1 — Require Intune-compliant device for M365 access (Exchange, SharePoint, OneDrive, Teams) across macOS and iOS. Policy 2 — Block legacy authentication (IMAP, POP3, SMTP AUTH, Exchange ActiveSync). Policy 3 — Require MFA for all sign-ins. Apply to all 31 M365 users. Test personal-device blocking and legacy-auth rejection.",4,IRV-TS1,One-Time
AFFG-004-010,CloudBrink ZTNA Tenant & Connector Setup,Phase 2: Access Control,"Provision CloudBrink ZTNA tenant for AFFG. Deploy CloudBrink connector (edge appliance) integrated with AFFG network. Configure identity provider integration with Microsoft Entra ID for SSO. Define application resources: M365, Schwab Advisor Services, Interactive Brokers TWS, internal file shares. Reg S-P 248.30(a)(3); NIST AC-17, SC-7.",3,IRV-TS1,One-Time
AFFG-004-011,CloudBrink Agent Deployment to 9 Managed Macs,Phase 2: Access Control,"Deploy CloudBrink ZTNA agent (macOS build) to all 9 Apple endpoints via Intune app deployment (macOS package). Configure per-user ZTNA policies: device posture check (Intune compliance + FileVault + CrowdStrike/Huntress active) required per session. Verify agent auto-start, silent authentication via Entra SSO, and per-application micro-segmented access.",3,CHD-TS1,One-Time
AFFG-004-012,CloudBrink Access Policies & Micro-Segmentation,Phase 2: Access Control,"Configure CloudBrink per-application access policies: Schwab Advisor Services (HTTPS only), Interactive Brokers (TWS + IBKR Web), M365 suite, internal file shares. Enable per-session device posture verification. Configure session logging (user, device, app, duration, source IP). Block lateral movement between applications.",3,CHD-TS1,One-Time
